ProductID,ProductName,CategoryID,Price
101,Classic Leather Wallet,1,343.32
102,Smart LED Bulb Set,1,495.6
103,Bluetooth Headphones,3,321.93
104,Compact Air Fryer,1,297.61
105,Ceramic Coffee Mug Set,3,120.69
106,Wireless Gaming Mouse,1,499.23
107,Yoga Mat with Strap,4,283.74
108,Travel Neck Pillow,3,89.45
109,Fitness Tracker Band,4,450.42
110,Cordless Vacuum Cleaner,4,490.06
111,Noise-Canceling Earbuds,4,408.79
112,Portable Power Bank,2,483.29
113,Stainless Steel Water Bottle,4,136.35
114,Home Security Camera,5,388.22
115,Electric Kettle,1,448.26
116,Digital Kitchen Scale,5,221.23
117,LED Desk Lamp,2,383.28
118,Memory Foam Seat Cushion,2,126.52
119,Adjustable Phone Stand,1,110.52
120,Outdoor Solar Lights,1,456.05
121,Eco-Friendly Lunch Box,1,58.07
122,Rechargeable Hand Warmer,4,176.13
123,USB-C Charging Hub,3,38.5
124,Mini Bluetooth Speaker,5,114.76
125,Magnetic Car Phone Mount,2,62.3
126,Automatic Soap Dispenser,3,265.72
127,Waterproof Action Camera,3,320.86
128,Insulated Food Flask,2,223.85
129,Ergonomic Keyboard,4,24.58
130,Foldable Laptop Stand,4,351.17
131,Programmable Coffee Maker,5,265.22
132,Essential Oil Diffuser,3,469.95
133,Portable Mini Fridge,2,39.89
134,Smart Home Plug,5,334.09
135,Cordless Hair Trimmer,3,23.52
136,Wireless Keyboard & Mouse Combo,5,287.98
137,Adjustable Dumbbell Set,1,250.07
138,Stainless Steel Cookware Set,3,44.61
139,Digital Alarm Clock,4,71.78
140,Electric Toothbrush,2,356.14
141,Smart Door Lock,2,232.16
142,Infrared Thermometer,4,415.88
143,Luggage Organizer Set,1,140.97
144,Portable Camping Chair,2,232.83
145,Indoor Plant Pot Set,1,229.72
146,Gaming Headset,1,390.69
147,Weighted Blanket,1,280.85
148,Electric Hair Straightener,3,92.84
149,Resistance Band Set,3,272.58
150,Adjustable Standing Desk,2,286.23
